,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
26,9.0,9.5,9.0,9.0,10.0,10.0,9.5,10.0,9.0,9.5,9.5,9.5,9.5,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
27,8.0,10.0,10.0,8.5,8.5,7.5,10.0,9.5,9.5,9.0,9.0,10.0,10.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,-1.0,8.0,0.0,-1.0,0.0,-1.0,7.0,9.5,9.5,9.5,9.5,9.5,8.0,8.0,7.0,8.0,9.0,8.0,9.0,7.5,7.5,8.5,8.5,8.5,9.0,9.0,9.0,9.0,9.5,9.0
28,10.0,10.0,9.0,10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,8.5,10.0
29,9.0,9.5,9.0,9.0,10.0,9.0,9.5,10.0,10.0,9.5,9.5,9.5,9.5,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,8.5,5.0,9.5,9.5,8.5,8.5,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,10.0,6.0,6.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
30,10.0,7.5,10.0,10.0,9.0,8.0,8.5,10.0,10.0,8.5,8.5,7.5,7.5,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,6.0,10.0,10.0,9.0,9.0,6.0,9.5,8.5,9.5,8.5,9.5,6.0,6.0,6.0,5.0,10.0,6.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0
31,10.0,10.0,9.5,9.5,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,9.5,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.5,8.5,9.5,9.5,10.0,9.5
32,10.0,9.0,10.0,9.5,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,8.0,9.5,9.5,9.5,9.5,9.5,8.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
33,9.0,10.0,9.5,9.5,10.0,9.0,10.0,9.5,9.5,10.0,10.0,9.0,9.0,9.5,9.5,9.5,9.5,9.5,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.5,9.0,8.5,10.0,9.0,9.0,10.0,10.0,9.5,9.5,9.5,9.5,10.0,9.5
34,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
35,8.0,8.5,8.0,9.5,9.5,8.5,9.5,8.0,9.0,9.5,9.5,9.5,9.5,8.0,9.0,9.0,9.0,8.0,0.0,-1.0,-1.0,0.0,-1.0,7.0,7.0,6.0,7.0,7.0,9.0,6.0,8.0,9.0,9.0,9.0,6.0,8.0,8.0,7.0,8.0,8.0,5.0,6.0,6.0,6.0,8.0,6.0,7.5,9.5,8.5,9.5,8.5,9.5,8.0,9.0,8.0,8.0,9.5,9.0
36,9.0,8.0,10.0,9.5,10.0,9.5,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.5,10.0,9.5,9.5,8.5,9.5,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.5,8.5,9.5,9.5,8.5,10.0,10.0,9.0,10.0,9.0,10.0
37,9.0,8.5,7.5,7.0,8.5,8.5,7.5,-1.0,0.0,8.5,8.5,8.5,8.5,0.0,0.0,-1.0,-1.0,-1.0,10.0,9.0,10.0,10.0,10.0,5.0,6.0,6.0,6.0,6.0,10.0,8.0,9.0,10.0,10.0,9.0,7.0,9.0,10.0,9.0,9.0,9.0,7.0,8.0,8.0,7.0,8.5,8.0,8.5,9.5,9.5,9.5,9.5,8.5,7.5,7.5,8.5,7.5,9.5,8.5
38,8.0,8.0,7.0,9.0,7.0,8.5,9.0,9.5,9.5,8.0,9.0,9.0,9.0,9.5,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,8.5,10.0,10.0,10.0,10.0,8.5,7.0,7.0,7.0,7.0,7.0,8.5,8.5,8.5,8.5,6.0,8.5,9.5,8.5,8.5,8.5,7.5,8.5,7.0,7.0,7.0,6.0,7.0,7.0
