,0,1,2,3,4,5,6,7,8,9
169,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
170,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0
171,9.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,10.0
172,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
173,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0
174,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0
175,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0
176,10.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0
177,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0
178,10.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0
179,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
180,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0
181,9.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0
182,8.0,9.0,10.0,9.0,7.0,8.0,8.0,10.0,10.0,8.0
183,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
184,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0
185,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0
186,10.0,8.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0
187,10.0,4.0,9.0,-1.0,10.0,10.0,4.0,8.0,0.0,10.0
188,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
189,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0
190,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0
191,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0
192,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0
193,8.0,9.0,10.0,10.0,7.0,8.0,9.0,9.0,9.0,7.0
